cod_cliente_ficticio,tipo_pessoa,produto,qtd_cotas_total,qtd_cotas_contempladas,qtd_cotas_nao_contempladas,vl_saldo_devedor_total,tempo_relacionamento_anos,nm_uf,vl_renda_mensal,dt_ultima_compra,tempo_medio_permanencia_meses,situacao_adimplencia,teve_cotas_canceladas,faixa_renda,recencia_dias,faixa_recencia,inadimplente_flag,cancelamento_flag,tem_veiculos_row,tem_imoveis_row,recencia_meses,elegivel,score_capacidade_veiculos,score_capacidade_imoveis,score_recencia,score_engajamento,score_relacionamento,score_afinidade_veiculos,score_afinidade_imoveis,score_veiculos,score_imoveis,produto_recomendado,score_conquiste,segmento_conquiste,score_produto_atual,segmento_produto_atual
CLI015956,FISICA,IMÓVEIS,1,0,1,140685.64,3,PARANA,3000.0,2023-09-12,127,ADIMPLENTE,NÃO,Até 5 mil,1102,2 a 5 anos,False,False,False,True,36.2,False,5,5,0,5,12,10,15,32,37,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI015957,FISICA,IMÓVEIS,2,0,2,514367.88,2,BAHIA,7000.0,2024-05-20,190,ADIMPLENTE,NÃO,5 a 10 mil,851,2 a 5 anos,False,False,False,True,28.0,False,10,5,0,10,8,10,15,38,38,Não ofertar,38,Não prioritário,38.0,Não prioritário
CLI015958,FISICA,VEÍCULOS,1,1,0,3587.61,2,RIO GRANDE DO SUL,5757.94,2023-11-28,2,ADIMPLENTE,NÃO,5 a 10 mil,1025,2 a 5 anos,False,False,True,False,33.7,False,10,5,0,5,8,15,10,38,28,Não ofertar,38,Não prioritário,38.0,Não prioritário
CLI015959,FISICA,VEÍCULOS,1,0,1,118539.07,16,MATO GROSSO,10000.0,2023-04-27,60,ADIMPLENTE,NÃO,5 a 10 mil,1240,2 a 5 anos,False,False,True,False,40.7,False,20,10,0,5,15,15,10,55,40,Não ofertar,55,Não prioritário,55.0,Não prioritário
CLI015960,FISICA,VEÍCULOS,1,0,1,131763.88,0,RIO GRANDE DO SUL,5000.0,2026-07-03,106,ADIMPLENTE,NÃO,Até 5 mil,77,Até 3 meses,False,False,True,False,2.5,True,10,5,20,5,5,15,10,55,45,VEÍCULOS,55,Nutrição,55.0,Nutrição
CLI015961,FISICA,IMÓVEIS,1,0,1,131346.36,3,SANTA CATARINA,8000.0,2023-02-08,127,ADIMPLENTE,NÃO,5 a 10 mil,1318,2 a 5 anos,False,False,False,True,43.3,False,10,5,0,5,12,10,15,37,37,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI015962,FISICA,VEÍCULOS,1,0,1,120294.74,0,PARANA,10000.0,2026-08-25,106,ADIMPLENTE,NÃO,5 a 10 mil,24,Até 3 meses,False,False,True,False,0.8,True,20,10,20,5,5,15,10,65,50,VEÍCULOS,65,Potencial,65.0,Potencial
CLI015963,FISICA,IMÓVEIS,1,0,1,662663.26,0,RIO GRANDE DO SUL,10000.0,2026-06-24,206,ADIMPLENTE,NÃO,5 a 10 mil,86,Até 3 meses,False,False,False,True,2.8,True,20,10,20,5,5,10,15,60,55,VEÍCULOS,60,Nutrição,55.0,Nutrição
CLI015964,FISICA,IMÓVEIS,1,0,1,603749.47,0,MINAS GERAIS,15000.0,2025-11-19,206,ADIMPLENTE,NÃO,10 a 20 mil,303,6 a 12 meses,False,False,False,True,10.0,True,25,10,15,5,5,10,15,60,50,VEÍCULOS,60,Nutrição,50.0,Nutrição
CLI015965,FISICA,IMÓVEIS,1,0,1,910839.69,6,MATO GROSSO,50000.0,2026-07-22,218,ADIMPLENTE,NÃO,30 a 50 mil,58,Até 3 meses,False,False,False,True,1.9,True,30,30,20,5,15,10,15,80,85,IMÓVEIS,85,Alta prioridade,85.0,Alta prioridade
CLI015966,JURÍDICA,VEÍCULOS,2,2,0,55338.63,1,MATO GROSSO,22112.26,2025-02-27,64,ADIMPLENTE,NÃO,20 a 30 mil,568,1 a 2 anos,False,False,True,False,18.7,True,30,20,10,10,8,15,10,73,58,VEÍCULOS,73,Potencial,73.0,Potencial
CLI015967,FISICA,IMÓVEIS,1,0,1,107587.95,4,RIO GRANDE DO SUL,8000.0,2021-11-09,90,ADIMPLENTE,NÃO,5 a 10 mil,1774,2 a 5 anos,False,False,False,True,58.3,False,10,5,0,5,12,10,15,37,37,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI015968,FISICA,IMÓVEIS,1,0,1,211932.7,9,RIO GRANDE DO SUL,2800.0,2017-04-12,62,ADIMPLENTE,NÃO,Até 5 mil,3446,Mais de 5 anos,False,False,False,True,113.2,False,5,5,0,5,15,10,15,35,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI015969,FISICA,IMÓVEIS,1,0,1,249120.71,1,SANTA CATARINA,8000.0,2024-11-25,197,ADIMPLENTE,NÃO,5 a 10 mil,662,1 a 2 anos,False,False,False,True,21.7,True,10,5,10,5,8,10,15,43,43,AMBOS,43,Nutrição,43.0,Nutrição
CLI015970,FISICA,IMÓVEIS,2,1,1,83952.18,10,PARANA,10202.66,2019-01-23,82,ADIMPLENTE,NÃO,10 a 20 mil,2795,Mais de 5 anos,False,False,False,True,91.8,False,20,10,0,10,15,10,15,55,50,Não ofertar,55,Não prioritário,50.0,Não prioritário
CLI015971,FISICA,IMÓVEIS,1,0,1,534028.62,0,RIO GRANDE DO SUL,24240.0,2025-11-17,210,ADIMPLENTE,NÃO,20 a 30 mil,305,6 a 12 meses,False,False,False,True,10.0,True,30,20,15,5,5,10,15,65,60,VEÍCULOS,65,Potencial,60.0,Nutrição
